"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 4, "1, 2, 3, 4", 14, 1
1, GawrilaGhul, 4, "1, 2, 3, 4", 12, 2
2, DontCallMeChicken, 3, "1, 2, 3", 5, 3
3, Peter_Hahn, 2, "1, 4", 2, 5
3, ska_raccoon, 2, "3, 4", 3, 4
