"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 3, "1, 2, 3", 10, 1
1, GawrilaGhul, 3, "1, 2, 3", 9, 2
1, DontCallMeChicken, 3, "1, 2, 3", 5, 3
2, Peter_Hahn, 1, "1", 1, 4
2, ska_raccoon, 1, "3", 1, 4
