Rang, Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, echteFrau, 9, "1,3,4,5,6,7,8,9,10", 40, 1
2, GawrilaGhul, 10, "1,2,3,4,5,6,7,8,9,10", 35, 3
3, mariia_cel, 5, "1,2,5,6,7", 32, 5
4, Publikum, 1, "1", 5, 12
5, D3lTa_Music, 2, "1,2", 10, 10
6, DontCallMeChicken, 7, "1,3,4,5,6,8,10", 39, 4
6, krischa88xx, 6, "1,2,3,7,8,9", 13, 9
7, geckoofcolor, 4, "1,2,5,6", 15, 8
8, MayaManuka, 8, "2,3,5,6,7,8,9,10", 39, 2
9, xsnowflake1x, 2, "2,3", 5, 12
10, Coolmaster185, 5, "5,6,7,8,9", 25, 6
10, Fuechsle__, 6, "5,6,7,8,9,10", 25, 7
11, Aegyptischer_Panda, 1, "5", 2, 13
12, FetterBurger, 2, "7,8", 10, 10
13, NutBrainsTV, 1, "9", 7, 11
13, Keks_Mafiaa, 2, "9,10", 5, 14
