Rang, Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, echteFrau, 4, "1,3,4,5", 23, 1
2, GawrilaGhul, 5, "1,2,3,4,5", 16, 2
3, mariia_cel, 3, "1,2,5", 16, 3
4, Publikum, 1, "1", 5, 6
5, D3lTa_Music, 2, "1,2", 10, 4
6, DontCallMeChicken, 4, "1,3,4,5", 17, 4
6, krischa88xx, 3, "1,2,3", 6, 5
7, geckoofcolor, 3, "1,2,5", 8, 5
7, MayaManuka, 3, "2,3,5", 15, 4
7, xsnowflake1x, 2, "2,3", 5, 6
0, Coolmaster185, 1, "5", 8, 0
0, Fuechsle__, 1, "5", 4, 0
