"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 5, "1, 2, 3, 4, 5", 23, 1
1, GawrilaGhul, 5, "1, 2, 3, 4, 5", 22, 2
1, DontCallMeChicken, 5, "1, 2, 3, 4, 5", 15, 3
1, Peter_Hahn, 5, "1, 2, 3, 4, 5", 8, 4
1, ska_raccoon, 5, "1, 2, 3, 4, 5", 7, 5
