"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 3, "1, 2, 3", 14, 1
1, GawrilaGhul, 3, "1, 2, 3", 13, 2
1, DontCallMeChicken, 3, "1, 2, 3", 9, 3
1, Peter_Hahn, 3, "1, 2, 3", 5, 4
1, ska_raccoon, 3, "1, 2, 3", 4, 5
