"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 8, "1, 2, 3, 4, 6, 7, 8, 9", 28, 1
1, GawrilaGhul, 8, "1, 2, 3, 4, 6, 7, 8, 9", 21, 2
2, DontCallMeChicken, 7, "1, 2, 3, 5, 6, 8, 9", 21, 2
2, Peter_Hahn, 7, "1, 4, 5, 6, 7, 8, 9", 9, 4
3, ska_raccoon, 6, "3, 4, 5, 6, 7, 9", 13, 3
