"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 7, "1, 2, 3, 4, 5, 6, 7", 32, 1
1, GawrilaGhul, 7, "1, 2, 3, 4, 5, 6, 7", 31, 2
1, DontCallMeChicken, 7, "1, 2, 3, 4, 5, 6, 7", 21, 3
1, Peter_Hahn, 7, "1, 2, 3, 4, 5, 6, 7", 11, 4
1, ska_raccoon, 7, "1, 2, 3, 4, 5, 6, 7", 10, 5
