"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 6, "1, 2, 3, 4, 6, 7", 22, 1
1, GawrilaGhul, 6, "1, 2, 3, 4, 6, 7", 18, 2
2, DontCallMeChicken, 5, "1, 2, 3, 5, 6", 13, 3
2, Peter_Hahn, 5, "1, 4, 5, 6, 7", 5, 5
2, ska_raccoon, 5, "3, 4, 5, 6, 7", 9, 4
