"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 6, "1, 2, 3, 4, 5, 6", 27, 1
1, GawrilaGhul, 6, "1, 2, 3, 4, 5, 6", 27, 1
1, DontCallMeChicken, 6, "1, 2, 3, 4, 5, 6", 18, 2
1, Peter_Hahn, 6, "1, 2, 3, 4, 5, 6", 9, 3
1, ska_raccoon, 6, "1, 2, 3, 4, 5, 6", 9, 3
