Rang, Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, echteFrau, 5, "1,3,4,5,6", 25, 1
2, GawrilaGhul, 6, "1,2,3,4,5,6", 21, 4
3, mariia_cel, 4, "1,2,5,6", 25, 3
4, Publikum, 1, "1", 5, 8
5, D3lTa_Music, 2, "1,2", 10, 5
6, DontCallMeChicken, 5, "1,3,4,5,6", 25, 2
7, krischa88xx, 3, "1,2,3", 6, 7
7, geckoofcolor, 4, "1,2,5,6", 15, 6
7, MayaManuka, 4, "2,3,5,6", 20, 4
8, xsnowflake1x, 2, "2,3", 5, 8
9, Coolmaster185, 2, "5,6", 12, 6
9, Fuechsle__, 2, "5,6", 7, 8
9, Aegyptischer_Panda, 1, "5", 2, 9
