Rang, Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, echteFrau, 1, "1", 8, 1
1, GawrilaGhul, 2, "1,2", 10, 2
1, mariia_cel, 2, "1,2", 13, 3
1, Publikum, 1, "1", 5, 4
1, D3lTa_Music, 2, "1,2", 10, 5
1, DontCallMeChicken, 1, "1", 3, 6
1, krischa88xx, 2, "1,2", 4, 7
1, geckoofcolor, 2, "1,2", 6, 8
0, MayaManuka, 1, "2", 7, 0
0, xsnowflake1x, 1, "2", 4, 0
