"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 2, "1, 2", 6, 1
1, GawrilaGhul, 2, "1, 2", 6, 1
1, DontCallMeChicken, 2, "1, 2", 3, 2
2, Peter_Hahn, 1, "1", 1, 3
