"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 5, "1, 2, 3, 4, 6", 18, 1
1, GawrilaGhul, 5, "1, 2, 3, 4, 6", 15, 2
1, DontCallMeChicken, 5, "1, 2, 3, 5, 6", 13, 3
2, Peter_Hahn, 4, "1, 4, 5, 6", 4, 5
2, ska_raccoon, 4, "3, 4, 5, 6", 7, 4
