"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 4, "1, 2, 3, 4", 14, 1
1, GawrilaGhul, 4, "1, 2, 3, 4", 12, 2
1, DontCallMeChicken, 4, "1, 2, 3, 5", 8, 3
2, Peter_Hahn, 3, "1, 4, 5", 3, 5
2, ska_raccoon, 3, "3, 4, 5", 5, 4
