"Rang meiste Runden", Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, Aegyptischer_Panda, 7, "1, 2, 3, 4, 6, 7, 8", 26, 1
1, GawrilaGhul, 7, "1, 2, 3, 4, 6, 7, 8", 20, 2
2, DontCallMeChicken, 6, "1, 2, 3, 5, 6, 8", 16, 3
2, Peter_Hahn, 6, "1, 4, 5, 6, 7, 8", 6, 5
3, ska_raccoon, 5, "3, 4, 5, 6, 7", 9, 4
