Rang, Spieler, Rundenanzahl, Runden, Punkte, "Rang Punkte"
1, echteFrau, 3, "1,3,4", 17, 1
2, GawrilaGhul, 4, "1,2,3,4", 15, 1
3, mariia_cel, 2, "1,2", 13, 2
4, Publikum, 1, "1", 5, 6
5, D3lTa_Music, 2, "1,2", 10, 3
5, DontCallMeChicken, 3, "1,3,4", 10, 4
6, krischa88xx, 3, "1,2,3", 6, 5
7, geckoofcolor, 2, "1,2", 6, 5
7, MayaManuka, 2, "2,3", 10, 3
7, xsnowflake1x, 2, "2,3", 5, 6
