"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 5, 2, "1, 2", 1
1, GawrilaGhul, 5, 2, "1, 2", 1
2, DontCallMeChicken, 2, 2, "1, 2", 2
