"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 14, 3, "1, 2, 3", 1
2, GawrilaGhul, 13, 3, "1, 2, 3", 1
3, DontCallMeChicken, 9, 3, "1, 2, 3", 1
4, Peter_Hahn, 5, 3, "1, 2, 3", 1
5, ska_raccoon, 4, 3, "1, 2, 3", 1
