"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 22, 6, "1, 2, 3, 4, 6, 7", 1
2, GawrilaGhul, 18, 6, "1, 2, 3, 4, 6, 7", 1
3, DontCallMeChicken, 13, 5, "1, 2, 3, 5, 6", 2
4, ska_raccoon, 9, 5, "3, 4, 5, 6, 7", 2
5, Peter_Hahn, 5, 5, "1, 4, 5, 6, 7", 2
