"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 28, 8, "1, 2, 3, 4, 6, 7, 8, 9", 1
2, GawrilaGhul, 21, 8, "1, 2, 3, 4, 6, 7, 8, 9", 1
2, DontCallMeChicken, 21, 7, "1, 2, 3, 5, 6, 8, 9", 2
3, ska_raccoon, 13, 6, "3, 4, 5, 6, 7, 9", 3
4, Peter_Hahn, 9, 7, "1, 4, 5, 6, 7, 8, 9", 2
