"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 14, 4, "1, 2, 3, 4", 1
2, GawrilaGhul, 12, 4, "1, 2, 3, 4", 1
3, DontCallMeChicken, 8, 4, "1, 2, 3, 5", 1
4, ska_raccoon, 5, 3, "3, 4, 5", 2
5, Peter_Hahn, 3, 3, "1, 4, 5", 2
