"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 18, 4, "1, 2, 3, 4", 1
1, GawrilaGhul, 18, 4, "1, 2, 3, 4", 1
2, DontCallMeChicken, 12, 4, "1, 2, 3, 4", 1
3, Peter_Hahn, 6, 4, "1, 2, 3, 4", 1
3, ska_raccoon, 6, 4, "1, 2, 3, 4", 1
