Rang, Spieler, Punkte, Rundenanzahl, Runden
1, Aegyptischer_Panda,18, 5,"1, 2, 3, 4, 5"
2, GawrilaGhul,17, 5,"1, 2, 3, 4, 5"
3, DontCallMeChicken,8, 5,"1, 2, 3, 4, 5"
4, Peter_Hahn,7, 5,"1, 2, 3, 4, 5"
