"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 18, 5, "1, 2, 3, 4, 6", 1
2, GawrilaGhul, 15, 5, "1, 2, 3, 4, 6", 1
3, DontCallMeChicken, 13, 5, "1, 2, 3, 5, 6", 1
4, ska_raccoon, 7, 4, "3, 4, 5, 6", 2
5, Peter_Hahn, 4, 4, "1, 4, 5, 6", 2
