Rang, Spieler, Punkte, Rundenanzahl, Runden
1, Aegyptischer_Panda,11, 3,"1, 2, 3"
2, GawrilaGhul,10, 3,"1, 2, 3"
3, DontCallMeChicken,5, 3,"1, 2, 3"
4, Peter_Hahn,4, 3,"1, 2, 3"
