"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 36, 8, "1, 2, 3, 4, 5, 6, 7, 8", 1
1, GawrilaGhul, 36, 8, "1, 2, 3, 4, 5, 6, 7, 8", 1
2, DontCallMeChicken, 24, 8, "1, 2, 3, 4, 5, 6, 7, 8", 1
3, Peter_Hahn, 12, 8, "1, 2, 3, 4, 5, 6, 7, 8", 1
3, ska_raccoon, 12, 8, "1, 2, 3, 4, 5, 6, 7, 8", 1
