"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 10, 3, "1, 2, 3", 1
2, GawrilaGhul, 9, 3, "1, 2, 3", 1
3, DontCallMeChicken, 5, 3, "1, 2, 3", 1
4, Peter_Hahn, 1, 1, "1", 2
4, ska_raccoon, 1, 1, "3", 2
