"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 9, 2, "1, 2", 1
1, GawrilaGhul, 9, 2, "1, 2", 1
2, DontCallMeChicken, 6, 2, "1, 2", 1
3, Peter_Hahn, 3, 2, "1, 2", 1
3, ska_raccoon, 3, 2, "1, 2", 1
