"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 26, 7, "1, 2, 3, 4, 6, 7, 8", 1
2, GawrilaGhul, 20, 7, "1, 2, 3, 4, 6, 7, 8", 1
3, DontCallMeChicken, 16, 6, "1, 2, 3, 5, 6, 8", 2
4, ska_raccoon, 9, 5, "3, 4, 5, 6, 7", 3
5, Peter_Hahn, 6, 6, "1, 4, 5, 6, 7, 8", 2
