"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 32, 7, "1, 2, 3, 4, 5, 6, 7", 1
2, GawrilaGhul, 31, 7, "1, 2, 3, 4, 5, 6, 7", 1
3, DontCallMeChicken, 21, 7, "1, 2, 3, 4, 5, 6, 7", 1
4, Peter_Hahn, 11, 7, "1, 2, 3, 4, 5, 6, 7", 1
5, ska_raccoon, 10, 7, "1, 2, 3, 4, 5, 6, 7", 1
