Rang, Spieler, Punkte, Rundenanzahl, Runden
1, Aegyptischer_Panda,14, 4,"1, 2, 3, 4"
2, GawrilaGhul,14, 4,"1, 2, 3, 4"
3, DontCallMeChicken,6, 4,"1, 2, 3, 4"
4, Peter_Hahn,6, 4,"1, 2, 3, 4"
