Rang, Spieler, Punkte, Rundenanzahl, Runden
1, Peter_Hahn,8, 3,"1, 2, 3"
2, DontCallMeChicken,6, 3,"1, 2, 3"
3, Nightbot,4, 3,"1, 2, 3"
