"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, GawrilaGhul, 11, 3, "1, 2, 3", 1
2, Aegyptischer_Panda, 10, 3, "1, 2, 3", 1
3, DontCallMeChicken, 6, 3, "1, 2, 3", 1
4, Peter_Hahn, 3, 3, "1, 2, 3", 1
