"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 27, 6, "1, 2, 3, 4, 5, 6", 1
1, GawrilaGhul, 27, 6, "1, 2, 3, 4, 5, 6", 1
2, DontCallMeChicken, 18, 6, "1, 2, 3, 4, 5, 6", 1
3, Peter_Hahn, 9, 6, "1, 2, 3, 4, 5, 6", 1
3, ska_raccoon, 9, 6, "1, 2, 3, 4, 5, 6", 1
