"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 14, 4, "1, 2, 3, 4", 1
2, GawrilaGhul, 12, 4, "1, 2, 3, 4", 1
3, DontCallMeChicken, 5, 3, "1, 2, 3", 2
4, ska_raccoon, 3, 2, "3, 4", 3
5, Peter_Hahn, 2, 2, "1, 4", 3
