"Rang Punkte", Spieler, Punkte, Rundenanzahl, Runden, "Rang meiste Runden"
1, Aegyptischer_Panda, 6, 2, "1, 2", 1
1, GawrilaGhul, 6, 2, "1, 2", 1
2, DontCallMeChicken, 3, 2, "1, 2", 1
3, Peter_Hahn, 1, 1, "1", 2
