Rang, Spieler, Punkte, Rundenanzahl, Runden, "Rang Runden"
1, echteFrau, 17, 3, "1,3,4", 1
1, GawrilaGhul, 15, 4, "1,2,3,4", 2
2, mariia_cel, 13, 2, "1,2", 3
3, D3lTa_Music, 10, 2, "1,2", 5
4, DontCallMeChicken, 10, 3, "1,3,4", 5
3, MayaManuka, 10, 2, "2,3", 7
5, krischa88xx, 6, 3, "1,2,3", 6
5, geckoofcolor, 6, 2, "1,2", 7
6, Publikum, 5, 1, "1", 4
6, xsnowflake1x, 5, 2, "2,3", 7
