Rang, Spieler, Punkte, Rundenanzahl, Runden, "Rang Runden"
2, echteFrau, 36, 7, "1,3,4,5,6,7,8", 1
3, DontCallMeChicken, 33, 6, "1,3,4,5,6,8", 6
1, mariia_cel, 32, 5, "1,2,5,6,7", 3
5, GawrilaGhul, 28, 8, "1,2,3,4,5,6,7,8", 2
4, MayaManuka, 28, 6, "2,3,5,6,7,8", 8
6, Coolmaster185, 22, 4, "5,6,7,8", 10
7, geckoofcolor, 15, 4, "1,2,5,6", 7
8, Fuechsle__, 15, 4, "5,6,7,8", 10
9, D3lTa_Music, 10, 2, "1,2", 5
10, FetterBurger, 10, 2, "7,8", 11
10, krischa88xx, 9, 5, "1,2,3,7,8", 7
11, Publikum, 5, 1, "1", 4
11, xsnowflake1x, 5, 2, "2,3", 9
12, Aegyptischer_Panda, 2, 1, "5", 11
